name,variable,Use_Case
byclav cv 1000mg/200mg injection,use0,Treatment of Bacterial infections
b lox 500mg tablet,use0,Treatment of Bacterial infections
bilos 50 tablet,use0,Treatment of Hypertension (high blood pressure)
bactof oz 200 mg/500 mg suspension,use0,Treatment of Bacterial & parasitic infections
biozobid n 100mg/15mg tablet,use0, Pain relief
biozif-of oral suspension,use0,Treatment of Typhoid fever
benther as 120mg injection,use0, Malaria
bestolee 500mg tablet,use0,Treatment of Bacterial infections
broadiclox kid 125 mg tablet,use0,Treatment of Bacterial infections
brosal t 2 mg/100 mg tablet,use0,Treatment of Asthma
bevent 100mcg easecaps,use0,Treatment of Asthma
blastofen 10mg tablet,use0, Breast cancer
baloden 100mg tablet,use0, Bacterial infections
biozara syrup,use0, Cough
b dril 250mg tablet,use0,Treatment of Bacterial infections
bioglide 80mg tablet,use0,Treatment of Type 2 diabetes mellitus
blokcid d 30 mg/10 mg tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
bampril 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
benty 400mg tablet,use0,Treatment of Parasitic infections
bigben 400mg tablet,use0,Treatment of Parasitic infections
bonaxil 250mg tablet,use0,Treatment of Bacterial infections
bipir 400mg tablet,use0, Alzheimer's disease
bleocare 15mg injection,use0, Cervical cancer
bactrum 1000mg injection,use0,Treatment of Bacterial infections
btuss ls syrup,use0,Treatment of Cough with mucus
bactimox 500mg tablet,use0,Treatment of Bacterial infections
biosera 10mg tablet,use0, Pain relief
b dec 50mg injection,use0,Treatment of Post menopausal osteoporosis
biocetamol iv 1000mg infusion,use0, Pain relief
brodnem-s injection,use0, Severe bacterial infections
bitor 90 tablet,use0, Pain relief
bactomax cv dry syrup,use0,Treatment of Resistance Tuberculosis (TB)
bioxim o 200mg/200mg tablet,use0,Treatment of Bacterial infections
balmeco 1500 plus injection,use0,Treatment of Nutritional deficiencies
bimaton t eye drop,use0,Treatment of Glaucoma
bronkaid b syrup,use0,Treatment of Cough
bgzol-d capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
biomex 100 tablet dt,use0,Treatment of Bacterial infections
boglee 0.2mg tablet md,use0,Treatment of Type 2 diabetes mellitus
bluprin 40mg tablet sr,use0,Treatment of Premature Labor
billcet-l tablet,use0,Treatment of Allergic conditions
benlar p 100mg/325mg tablet,use0, Pain relief
bacter nz 500mg/200mg tablet,use0, Diarrhea
bicuff-dp syrup sugar free,use0,Treatment of Dry cough
blufen spas 80mg/100mg tablet,use0,Treatment of Abdominal pain
bd rex syrup,use0, Cough
bamlo 2.5mg tablet,use0,Treatment of Hypertension (high blood pressure)
blucob gp 300mg/500mcg tablet,use0,Treatment of Neuropathic pain
bactofix oz 200mg/500mg tablet,use0,Treatment of Bacterial infections
betaseep 16mg tablet,use0,Treatment of Meniere's disease
bilmox 250mg tablet,use0,Treatment of Bacterial infections
blisdox cv 100mg/62.5mg dry syrup,use0,Treatment of Respiratory tract infection
bgclav 228.5 oral suspension,use0,Treatment of Resistance Tuberculosis (TB)
brucef 200mg tablet,use0,Treatment of Bacterial infections
biotrix-s 1.5gm injection,use0, Bacterial infections
brokind syrup,use0,Treatment of Cough
bronzaflox oz 200mg/500mg tablet,use0,Treatment of Diarrhea
bixori-p tablet,use0, Pain relief
bentec plus oral suspension,use0,Treatment of Worm infections
blocin 100mg injection,use0, Bacterial infections
balpod 100mg tablet dt,use0,Treatment of Bacterial infections
bonclav 500mg/125mg tablet,use0,Treatment of Bacterial infections
borocool eye drop,use0,Treatment of Allergic eye disease
bolofen 30mg tablet xl,use0, Muscle relaxation
bufex c tablet,use0,Treatment of Pain due to muscle spasm
benoking 1000 mg/500 mg injection,use0, Bacterial infections
benicort 0.5mg oral drops,use0,Treatment of Allergic conditions
b-zed 400mg tablet,use0,Treatment of Parasitic infections
broflex nasal drops,use0, Nasal congestion (blocked nose)
b dec 25mg injection,use0,Treatment of Post menopausal osteoporosis
bettor ez tablet,use0, High cholesterol
bravopod oral suspension,use0,Treatment of Bacterial infections
bioxome 1000mg/500mg injection,use0, Bacterial infections
biofal 150mg injection,use0, Malaria
bendiflam p 100mg/325mg tablet,use0, Pain relief
btzole 100mg capsule,use0,Treatment of Fungal infections
btquin 200mg tablet,use0,Treatment of Bacterial infections
biodol ac 100mg/500mg tablet,use0, Pain relief
bizen 500mg tablet,use0, Tuberculosis (TB)
brulex 250mg tablet,use0,Treatment of Bacterial infections
b don 4mg tablet md,use0,Treatment of Nausea
biozine 15mg tablet,use0, Glaucoma
bitalex 100mg injection,use0, Moderate to severe pain
biocefmix-o dry syrup,use0,Treatment of Typhoid fever
betazom 16mg tablet dt,use0,Treatment of Meniere's disease
betahox 8mg tablet,use0,Treatment of Meniere's disease
bromolume 0.09% eye drop,use0, Post-operative eye pain and inflammation
blezol 20mg capsule,use0,Treatment of Heartburn
blosana 8mg tablet,use0, Schizophrenia
binita 2.5mg tablet,use0,Treatment of Hypertension (high blood pressure)
bitrab-lsr capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
brikmox cl 500mg/125mg tablet,use0,Treatment of Bacterial infections
betaprime 25mg tablet pr,use0,Treatment of Hypertension (high blood pressure)
besquil 0.25mg tablet,use0,Treatment of Anxiety
begonerve injection,use0,Treatment of Nutritional deficiencies
bectacef 250mg tablet,use0,Treatment of Bacterial infections
bdfavi 200mg tablet,use0,Treatment of Coronavirus disease (COVID-19)
banin 100mg tablet,use0,Treatment of Bacterial infections
blunac p 50mg/325mg tablet,use0, Pain relief
b cillin cv dry syrup,use0,Treatment of Resistance Tuberculosis (TB)
bynuro 1500mcg injection,use0, Vitamin B12 deficiency
baclowell 20mg tablet,use0, Muscle relaxation
blisnac sp tablet,use0, Pain relief
betab-d tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
brexic 40mg capsule,use0, Pain relief
bactamik 500 injection,use0, Bacterial infections
bludan 8mg tablet md,use0,Treatment of Nausea
bionor tz 400mg/600mg tablet,use0,Treatment of Diarrhea
banstat plus 6mg/400mg tablet,use0,Treatment of Worm infections
brotee-d syrup,use0, Dry cough
bof od 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
broadspect 500mg/500mg injection,use0,Treatment of Bacterial infections
biocilin 250mg syrup,use0, Bacterial infections
biomex 50mg dry syrup,use0,Treatment of Bacterial infections
belka 500mg injection,use0, Bacterial infections
bioquin 500mg tablet,use0,Treatment of Bacterial infections
babisure 200mg tablet,use0, Hormone replacement therapy
bldox 200 tablet dt,use0,Treatment of Bacterial infections
bigtune tablet,use0,Treatment of Bacterial infections
betlan 8mg tablet,use0,Treatment of Meniere's disease
biocoxia 90mg tablet,use0, Pain relief
benocef 50mg oral suspension,use0,Treatment of Bacterial infections
brufage 4 mg injection,use0, Skeletal muscle relaxation during surgery
bestoflox 100mg tablet,use0,Treatment of Bacterial infections
boxa 15mg tablet,use0, Short term anxiety
biocetam 1200mg tablet,use0, Alzheimer's disease
bromitol tablet,use0, Chronic obstructive pulmonary disease (COPD)
bixitor th 60mg/4mg tablet,use0,Treatment of Pain due to muscle spasm
butasulide p 100mg/500mg tablet,use0, Pain relief
biodiet plus injection,use0,Treatment of Nutritional deficiencies
bosemic 0.2mg tablet,use0,Treatment of Type 2 diabetes mellitus
batlen 4mg tablet,use0,Treatment of Meniere's disease
biozone s 1000mg/500mg injection,use0,Treatment of Bacterial infections
bye-cold-ds oral suspension,use0,Treatment of Common cold
bioprim 400mg/80mg tablet,use0,Treatment of Bacterial infections
betaphen c syrup,use0,Treatment of Common cold
blazex d 30mg/40mg capsule sr,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
blocid i 20mg/150mg capsule sr,use0, Gastroesophageal reflux disease (Acid reflux)
boonkuf am syrup,use0, Cough
barclav 250mg/125mg tablet,use0,Treatment of Bacterial infections
baxcort 6mg tablet,use0,Treatment of Inflammatory conditions
bptite 2.5mg/10mg tablet,use0, High blood pressure with high cholesterol
bipiflox 200mg tablet,use0,Treatment of Bacterial infections
brikmox cl 1000mg/200mg injection,use0,Treatment of Bacterial infections
bledem 4 tablet md,use0,Treatment of Nausea
brexgyl-d syrup,use0, Allergic conditions
bptan am 40mg/5mg tablet,use0,Treatment of Hypertension (high blood pressure)
betavrol 8mg tablet,use0,Treatment of Meniere's disease
bigatra 75mg tablet,use0,Treatment and prevention of Blood clots
boroside 90mg/48mg/100mg tablet,use0, Pain relief
beram 2.5mg tablet,use0,Treatment of Hypertension (high blood pressure)
blothin 250mg tablet,use0,Prevention of Stroke
blefen 75mg injection,use0, Pain relief
broadbact 100mg tablet dt,use0,Treatment of Bacterial infections
betab-ls capsule sr,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
broncholik syrup,use0, Cough with mucus
borncal-d3 softgel capsule,use0,Treatment of Vitamin D deficiency
betaript 16mg tablet,use0,Treatment of Meniere's disease
benibuz-forte tablet,use0, Hypertension (high blood pressure)
bactoshine fourt injection,use0,Treatment of Bacterial infections
bend 200mg tablet,use0,Treatment of Parasitic infections
bonapam 60mg injection,use0, Osteoporosis
bronom tablet,use0, Dry cough
bptab 40mg tablet,use0,Treatment of Pheochromocytoma
bactor tz 500mg/600mg tablet,use0,Treatment of Bacterial & parasitic infections
branip tablet,use0, Dry cough
btpod cv 200mg/125mg tablet,use0,Treatment of Respiratory tract infection
bowlease syrup,use0,Treatment of Constipation
besoloc am 5mg/5mg tablet,use0, Hypertension (high blood pressure)
bekker m oral suspension,use0,Treatment of Diarrhea
bitpan 40mg tablet,use0,Treatment of Heartburn
benzi 500 tablet,use0,Treatment of Bacterial infections
bioixi-o tablet,use0,Treatment of Bacterial infections
brompt 0.09% eye drop,use0, Post-operative eye pain and inflammation
betadif 8mg tablet,use0,Treatment of Meniere's disease
bill preg 75mg capsule,use0,Treatment of Neuropathic pain
blusartan h 40mg/12.5mg tablet,use0,Treatment of Hypertension (high blood pressure)
blast-o kold oral suspension,use0,Treatment of Common cold
baclotic 20mg tablet er,use0, Muscle relaxation
bronkolast 10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
betaweb 16mg tablet,use0,Treatment of Meniere's disease
bjoy 20mg tablet,use0, Gastroesophageal reflux disease (Acid reflux)
belc 5mg tablet,use0,Treatment of Allergic conditions
brunopod 200mg tablet,use0,Treatment of Bacterial infections
bricol 80mg injection,use0,Treatment of Bacterial eye infections
belrica cv 200mg/125mg tablet,use0,Treatment of Respiratory tract infection
bax cv 500mg/125mg tablet,use0,Treatment of Bacterial infections
bactonis 500mg/500mg injection,use0,Treatment of Bacterial infections
brextil 500mg tablet,use0,Treatment of Bacterial infections
bc mox 250mg capsule,use0,Treatment of Bacterial infections
blefen-sp tablet,use0, Pain relief
bitof 50mg oral suspension,use0,Treatment of Bacterial infections
boglee md 0.3 tablet,use0,Treatment of Type 2 diabetes mellitus
bioser-d tablet,use0, Pain relief
biocefi 100mg tablet,use0,Treatment of Bacterial infections
bof 200mg tablet,use0,Treatment of Bacterial infections
biolof oz 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
biprostiva 50mg tablet,use0, Prostate cancer
bactomol 500mg tablet,use0, Pain relief
brocin 50mg tablet,use0,Treatment of Bacterial infections
besart 50mg tablet,use0,Treatment of Hypertension (high blood pressure)
btrophil 90mg/48mg/100mg tablet,use0, Pain relief
barec 20mg injection,use0, Gastroesophageal reflux disease (Acid reflux)
brunda 5mg tablet,use0,Treatment of Allergic conditions
biomoxil 500mg capsule,use0,Treatment of Bacterial infections
bromorex 1.25mg tablet,use0, High levels of prolactin
bromox 125mg tablet,use0,Treatment of Peptic ulcer disease
broxin 250mg capsule,use0,Treatment of Bacterial infections
bleegard m 500mg/250mg tablet,use0,Treatment of Heavy menstrual bleeding
bioran ace 100mg/325mg tablet,use0, Pain relief
barec-ac capsule sr,use0, Pain relief
baxodom tablet,use0,Prevention of Migraine
blokcid l 75mg/10mg tablet,use0, Constipation
beboxia 25 h tablet,use0, Hypertension (high blood pressure)
bactacare plus ointment,use0,Treatment of Bacterial skin infections
beniq-t 4mg/40mg tablet,use0, Hypertension (high blood pressure)
biogrel a 75mg/75mg tablet,use0, Prevention of heart attack and stroke
benipack ct 4mg/12.5mg tablet,use0, Hypertension (high blood pressure)
biolar 2mg tablet,use0,Treatment of Short term anxiety
bectosept 5% ointment,use0,Treatment and prevention of Wound infection
biofab 40mg tablet,use0,Treatment of Gout
bioitra 100mg capsule,use0,Treatment of Fungal infections
brecomin 2500 injection,use0, Vitamin B12 deficiency
brum 400mg/500mg tablet,use0, Pain relief
bolofen 10mg tablet,use0, Muscle relaxation
biogalin m 750mcg/75mg capsule,use0,Treatment of Neuropathic pain
benycold-ds syrup,use0, Common cold
boncofix tablet,use0, Osteoarthritis
bruplan 400mg injection,use0, Severe bacterial infections
bioran plus 50 mg/500 mg tablet,use0, Pain relief
bond 500mg injection,use0, Hormone replacement therapy
blazextin 40mg injection,use0,Treatment of Heartburn
bioflo-oz tablet,use0,Treatment of Bacterial & parasitic infections
becort 40mg injection,use0,Treatment of Rheumatoid arthritis
burlibact s 1000mg/500mg injection,use0, Bacterial infections
bunalco injection,use0, Vitamin B12 deficiency
benamont 5mg tablet,use0,Treatment of Allergic conditions
benzoclav 250 mg/125 mg tablet,use0,Treatment of Bacterial infections
blecef 100 dt tablet,use0,Treatment of Bacterial infections
bitasafe 8 tablet,use0,Treatment of Meniere's disease
baciflox oz 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
broxin 200mg tablet sr,use0, Chronic obstructive pulmonary disease (COPD)
boomcid oral suspension mango sugar free,use0, Acidity
bradinita 5mg tablet,use0,Treatment of Angina (heart-related chest pain)
b tec 25mg injection,use0,Treatment of Post menopausal osteoporosis
biover 6mg tablet,use0,Treatment of Parasitic infections
burpod 200mg tablet,use0,Treatment of Bacterial infections
bpgo 40mg tablet,use0,Treatment of Hypertension (high blood pressure)
backslid-lz tablet,use0,Treatment of Bacterial infections
breflox 200mg tablet,use0,Treatment of Bacterial infections
blaxime 200mg tablet,use0,Treatment of Bacterial infections
braingates 1000mcg injection,use0, Vitamin B12 deficiency
brotriz syrup,use0,Treatment of Cough
becef 125mg injection,use0,Treatment of Bacterial infections
binflox oz 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
burit 40mg capsule,use0, Gastroesophageal reflux disease (Acid reflux)
bradia 7.5mg tablet,use0,Treatment of Angina (heart-related chest pain)
bacticef 1000mg injection,use0,Treatment of Bacterial infections
blomin 15iu injection,use0, Cervical cancer
banflox oz 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
behop 16mg tablet,use0,Treatment of Meniere's disease
bizo it 20mg/150mg tablet,use0, Gastroesophageal reflux disease (Acid reflux)
becet-l 5mg tablet,use0,Treatment of Allergic conditions
bioprox 200mg tablet,use0,Treatment of Bacterial infections
btmox cls 250mg/250mg/10mg capsule,use0,Treatment of Bacterial infections
bladovox 200mg tablet,use0,Treatment of Muscle spasms of the urinary tract
bioact 500mg tablet,use0,Treatment of Bacterial infections
biofenac 25mg injection,use0, Pain relief
bactrocin 250mg tablet,use0,Treatment of Bacterial infections
bitcin 200mg injection,use0, Bacterial infections
bipi h 40mg/12.5mg tablet,use0,Treatment of Hypertension (high blood pressure)
blocid d 30mg/20mg capsule sr,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
biopan 40mg injection,use0,Treatment of Heartburn
b pam 0.5mg tablet,use0,Treatment of Anxiety disorder
beclonem c lotion,use0,Treatment of Fungal skin infections
betarich 8 tablet,use0,Treatment of Meniere's disease
betasung 16 tablet,use0,Treatment of Meniere's disease
buglac mouth wash,use0, Mouth infection
